CÓDIGO;CLASSIFICAÇÃO;DESCRIÇÃO;SALDO ANTERIOR;DÉBITO;CRÉDITO;SALDO ATUAL;MÊS;TIPO
19;1.0.00.00.0000;ATIVO;0;4839742,69;2716518,81;2123223,88;31/08/2019;D
27;1.1.00.00.0000;CIRCULANTE;0;3137234,25;2511668,26;625565,99;31/08/2019;D
35;1.1.01.00.0000;DISPONIVEL;0;2609839,45;2220361,08;389478,37;31/08/2019;D
43;1.1.01.01.0000;CAIXA;0;553675,41;532649,25;21026,16;31/08/2019;D
50;1.1.01.01.0100;CAIXA;0;553675,41;532649,25;21026,16;31/08/2019;D
60;1.1.01.02.0000;BANCOS CONTA MOVIMENTO;0;1550204,69;1200830,78;349373,91;31/08/2019;D
78;1.1.01.02.0400;BANCO BANRISUL S/A - CONTA RECEBEDOR;0;95441,42;72453,5;22987,92;31/08/2019;D
6520;1.1.01.02.0600;CARUANA - CONTA CORRENTE;0;563255;563247,88;7,12;31/08/2019;D
6505;1.1.01.02.0500;CARUANA;0;891508,27;565129,4;326378,87;31/08/2019;D
5320;1.1.01.04.0000;VALORES EM TRANSITO;0;505959,35;486881,05;19078,3;31/08/2019;D
6440;1.1.01.04.0002;VALORES EM TRANSITO - BRINKS;0;505959,35;486881,05;19078,3;31/08/2019;D
132;1.1.02.00.0000;CREDITOS;0;527394,8;291307,18;236087,62;31/08/2019;D
140;1.1.02.01.0000;ESTOQUE;0;13224,07;3033,41;10190,66;31/08/2019;D
159;1.1.02.01.0001;SUPRIMENTOS DE BILHETAGEM;0;13224,07;3033,41;10190,66;31/08/2019;D
175;1.1.02.02.0000;CLIENTES;0;314701,52;71754,02;242947,5;31/08/2019;D
205;1.1.02.02.0300;CONTAS A RECEBER;0;156,22;156,22;0;31/08/2019;
6564;1.1.02.02.0003;NOIVA DO MAR SERV MOBILIDADE LTDA -;0;38699,77;0;38699,77;31/08/2019;D
4286;1.1.02.02.0500;POS - BAR DO JAPA;0;70847,95;70847,95;0;31/08/2019;
190;1.1.02.02.0100;PREFEITURA MUNICIPAL DO RIO GRANDE;0;200667,2;749,85;199917,35;31/08/2019;D
6572;1.1.02.02.0004;TRANSPESSOAL TRANSPORTES LTDA;0;4330,38;0;4330,38;31/08/2019;D
213;1.1.02.03.0000;OUTROS CREDITOS;0;199469,21;216519,75;17050,54;31/08/2019;C
6530;1.1.02.03.0002;ADIANTAMENTO SBE - TRANSPESSOAL;0;198823,75;216518,75;17695;31/08/2019;C
6459;1.1.02.03.3003;DIFERENCA DE MALOTE VENDAS POS;0;0;1;1;31/08/2019;C
353;1.1.02.03.0400;IMPOSTO DE RENDA A RECUPERAR;0;645,46;0;645,46;31/08/2019;D
426;1.2.00.00.0000;REALIZAVEL A LONGO PRAZO;0;1537193,45;204850,55;1332342,9;31/08/2019;D
434;1.2.01.00.0000;REALIZAVEL A LONGO PRAZO;0;1537193,45;204850,55;1332342,9;31/08/2019;D
442;1.2.01.01.0000;CREDITOS COM PESSOAS LIGADAS;0;1387193,45;204850,55;1182342,9;31/08/2019;D
6432;1.2.01.01.0001;NOIVA DO MAR SERVICOS DE MOBILIDADE;0;1387193,45;204850,55;1182342,9;31/08/2019;D
7072;1.2.01.02.0000;OUTROS CREDITOS - LP;0;150000;0;150000;31/08/2019;D
7102;1.2.01.02.0003;EURICO DE SA CAVALCANTE JUNIOR;0;50000;0;50000;31/08/2019;D
7099;1.2.01.02.0002;MURILO PEREIRA CAVALCANTI;0;50000;0;50000;31/08/2019;D
7080;1.2.01.02.0001;VIPAR PARTICIPACOES SOCIETARIAS E SE;0;50000;0;50000;31/08/2019;D
469;1.3.00.00.0000;PEMANENTE;0;165314,99;0;165314,99;31/08/2019;D
558;1.3.02.00.0000;IMOBILIZADO;0;165314,99;0;165314,99;31/08/2019;D
566;1.3.02.01.0000;IMOBILIZADO;0;165314,99;0;165314,99;31/08/2019;D
590;1.3.02.01.0200;COMPUTADOR;0;5476;0;5476;31/08/2019;D
670;1.3.02.01.1000;EQUIPAMENTOS DE BILHETAGEM ELETRONIC;0;159838,99;0;159838,99;31/08/2019;D
906;2.0.00.00.0000;PASSIVO;0;382765,32;2456630,97;2073865,65;31/08/2019;C
914;2.1.00.00.0000;CIRCULANTE;0;232765,32;2156630,97;1923865,65;31/08/2019;C
922;2.1.01.00.0000;DEBITOS DE FUNCIONAMENTO;0;232765,32;2156630,97;1923865,65;31/08/2019;C
949;2.1.01.01.0000;FORNECEDORES;0;11847,42;177130,13;165282,71;31/08/2019;C
6467;2.1.01.01.9990;ANDRE NEVES MARCELLI;0;410;410;0;31/08/2019;
3417;2.1.01.01.3100;BRINKS SEGURANCA E TRANSPORTE DE VAL;0;0;3407,05;3407,05;31/08/2019;C
5037;2.1.01.01.9921;MIOZZO FESTA E PAPELARIA LTDA - ME;0;199,6;199,6;0;31/08/2019;
5118;2.1.01.01.9927;MOACIR DE AVILCA GONCALVES;0;160,1;160,1;0;31/08/2019;
3204;2.1.01.01.1800;PAULO ROGERIO SOARES GARCIA;0;0;5476;5476;31/08/2019;C
4898;2.1.01.01.9912;PEDRO DA SILVA ABREU - EPP;0;31,5;31,5;0;31/08/2019;
6483;2.1.01.01.9992;REUNIDAS TRANSPORTADORA RODOVIARIA D;0;2343,56;2343,56;0;31/08/2019;
3506;2.1.01.01.3700;TELE-RIG TELECOMUNICACOES LTDA.;0;0;336,61;336,61;31/08/2019;C
6490;2.1.01.01.9993;TRANSDATA INDUSTRIA E SERVICOS DE AU;0;0;154956,05;154956,05;31/08/2019;C
4260;2.1.01.01.9600;VETORIAL NET INF E SERV DE COMUNICAC;0;6842,66;6842,66;0;31/08/2019;
6475;2.1.01.01.9991;VIAPRINTER INFORMATICA LTDA;0;150;150;0;31/08/2019;
4250;2.1.01.01.9500;VIAVETORIAL INTERNET LTDA.;0;1710;1710;0;31/08/2019;
6513;2.1.01.01.9994;YC YOUR COMPANY COMERCIO E APOIO ADM;0;0;1107;1107;31/08/2019;C
1066;2.1.01.03.0000;OBRIGACOES C/PESSOAL/SOCIAL/TRIBUTAR;0;79,15;10765,94;10686,79;31/08/2019;C
1074;2.1.01.03.0100;COFINS A RECOLHER;0;0;6202,63;6202,63;31/08/2019;C
1163;2.1.01.03.1000;IRF S/COMISSOES;0;0;645,46;645,46;31/08/2019;C
1198;2.1.01.03.1100;IRF S/SERV. PREST. PJ OU S/C;0;0;34,41;34,41;31/08/2019;C
1200;2.1.01.03.1200;ISSQN A RECOLHER;0;79,15;2536,82;2457,67;31/08/2019;C
1210;2.1.01.03.1400;PIS A RECOLHER;0;0;1346,62;1346,62;31/08/2019;C
1325;2.1.01.05.0000;SBE;0;220838,75;1968734,9;1747896,15;31/08/2019;C
1350;2.1.01.05.0100;ADIANT. CLIENTES - VT WEB;0;0;173,25;173,25;31/08/2019;C
1340;2.1.01.05.0500;ADIANTAMENTO DE CLIENTES - PASSAGENS;0;4320;4320;0;31/08/2019;
1368;2.1.01.05.0200;COMUM - POS;0;14395,15;147197,8;132802,65;31/08/2019;C
1376;2.1.01.05.0300;ESCOLAR - POS;0;35280;372797,06;337517,06;31/08/2019;C
1384;2.1.01.05.0400;VALE TRANSPORTE - POS;0;166843,6;1444246,79;1277403,19;31/08/2019;C
1430;2.3.00.00.0000;PATRIMONIO LIQUIDO;0;150000;300000;150000;31/08/2019;C
1449;2.3.01.00.0000;CAPITAL SOCIAL;0;150000;300000;150000;31/08/2019;C
1457;2.3.01.01.0000;CAPITAL SUBSCRITO;0;0;150000;150000;31/08/2019;C
1465;2.3.01.01.0001;CAPITAL SOCIAL;0;0;150000;150000;31/08/2019;C
3182;2.3.01.02.0000;CAPITAL A INTEGRALIZAR;0;150000;150000;0;31/08/2019;
3190;2.3.01.02.0001;CAPITAL A INTEGRALIZAR;0;150000;150000;0;31/08/2019;
1554;3.0.00.00.0000;DESPESAS;0;23852,05;0;23852,05;31/08/2019;D
1562;3.1.00.00.0000;DESPESAS OPERACIONAIS;0;23852,05;0;23852,05;31/08/2019;D
1570;3.1.01.00.0000;CUSTOS DOS SERVICOS;0;3033,41;0;3033,41;31/08/2019;D
1589;3.1.01.01.0000;CUSTOS DE BILHETAGEM;0;3033,41;0;3033,41;31/08/2019;D
1619;3.1.01.01.0200;SUPRIMENTO DE BILHETAGEM;0;3033,41;0;3033,41;31/08/2019;D
1740;3.1.05.00.0000;DESPESAS GERAIS;0;20818,64;0;20818,64;31/08/2019;D
1759;3.1.05.01.0000;DESPESAS COM IMPOSTOS;0;1958,59;0;1958,59;31/08/2019;D
1767;3.1.05.01.0100;ALVARA;0;194,37;0;194,37;31/08/2019;D
1775;3.1.05.01.1300;COFINS S/OUTRAS RECEITAS;0;1382,59;0;1382,59;31/08/2019;D
1872;3.1.05.01.0900;OUTROS IMPOSTOS E TAXAS;0;81,46;0;81,46;31/08/2019;D
1856;3.1.05.01.1400;PIS S/OUTRAS RECEITAS;0;300,17;0;300,17;31/08/2019;D
1880;3.1.05.02.0000;SERVICOS DE TERCEIROS;0;11994,12;0;11994,12;31/08/2019;D
3425;3.1.05.02.1500;CARRO FORTE;0;3441,46;0;3441,46;31/08/2019;D
1929;3.1.05.02.1300;CONEXOES E COMUNICACOES;0;8552,66;0;8552,66;31/08/2019;D
2010;3.1.05.03.0000;DESPESAS FINANCEIRAS;0;2922,28;0;2922,28;31/08/2019;D
2046;3.1.05.03.0300;DESPESAS BANCARIAS;0;2922,28;0;2922,28;31/08/2019;D
2127;3.1.05.04.0000;DESPESAS ADMINISTRATIVAS;0;3943,65;0;3943,65;31/08/2019;D
2224;3.1.05.04.1000;COPA E COZINHA;0;217,28;0;217,28;31/08/2019;D
2305;3.1.05.04.4300;DESPESA DE CONSERVACAO;0;95;0;95;31/08/2019;D
3300;3.1.05.04.4700;FRETES E CARRETOS;0;2343,56;0;2343,56;31/08/2019;D
5860;3.1.05.04.5905;LIMPEZA E HIGIENE;0;160,1;0;160,1;31/08/2019;D
4413;3.1.05.04.5900;LOCACAO DE EQUIPAMENTOS;0;150;0;150;31/08/2019;D
2453;3.1.05.04.3200;MANUTENCAO DE EQUIPAMENTO ADMINISTRA;0;336,61;0;336,61;31/08/2019;D
2460;3.1.05.04.3300;MATERIAL DE EXPEDIENTE;0;641,1;0;641,1;31/08/2019;D
2607;4.0.00.00.0000;RECEITAS;0;8403,31;81613,59;73210,28;31/08/2019;C
2615;4.1.00.00.0000;RECEITA OPERACIONAL BRUTA;0;8403,31;81613,59;73210,28;31/08/2019;C
2623;4.1.01.00.0000;RECEITA OPERACIONAL LIQUIDA;0;8403,31;63421,58;55018,27;31/08/2019;C
2630;4.1.01.01.0000;RECEITA DE PRESTACAO DE SERVICOS;0;0;63421,58;63421,58;31/08/2019;C
2860;4.1.01.01.0001;COMISSÇO BILHETAGEM ELETRONICA;0;0;43030,15;43030,15;31/08/2019;C
2887;4.1.01.01.0002;TARIFA PROCESSAMENTO WEB;0;0;20391,43;20391,43;31/08/2019;C
2747;4.1.01.02.0000;(-) DEDUCAO DE RECEITA DA PREST. SER;0;8403,31;0;8403,31;31/08/2019;D
2755;4.1.01.02.0400;COFINS;0;4820,04;0;4820,04;31/08/2019;D
2780;4.1.01.02.0300;I.S.S.Q.N.;0;2536,82;0;2536,82;31/08/2019;D
2798;4.1.01.02.0500;PIS S/FATURAMENTO;0;1046,45;0;1046,45;31/08/2019;D
2810;4.1.02.00.0000;OUTRAS RECEITAS OPERACIONAIS;0;0;18192,01;18192,01;31/08/2019;C
2836;4.1.02.01.0000;OUTRAS RECEITAS OPERACIONAIS;0;0;18192,01;18192,01;31/08/2019;C
3140;4.1.02.01.0600;CARTAO BILHETAGEM;0;0;15862;15862;31/08/2019;C
2895;4.1.02.01.0500;CARTAO ESCOLAR;0;0;2330;2330;31/08/2019;C
2879;4.1.02.01.0300;RECEITAS DIVERSAS;0;0;0,01;0,01;31/08/2019;C
19;1.0.00.00.0000;ATIVO;2123223,88;6760391,35;6677012,14;2206603,09;30/09/2019;D
27;1.1.00.00.0000;CIRCULANTE;625565,99;4923617,41;4906688,88;642494,52;30/09/2019;D
35;1.1.01.00.0000;DISPONIVEL;389478,37;4286109,02;4408931,07;266656,32;30/09/2019;D
43;1.1.01.01.0000;CAIXA;21026,16;542675,8;525756,62;37945,34;30/09/2019;D
50;1.1.01.01.0100;CAIXA;21026,16;542675,8;525756,62;37945,34;30/09/2019;D
60;1.1.01.02.0000;BANCOS CONTA MOVIMENTO;349373,91;3356759,12;3489275,95;216857,08;30/09/2019;D
78;1.1.01.02.0400;BANCO BANRISUL S/A - CONTA RECEBEDOR;22987,92;935840,34;953239,12;5589,14;30/09/2019;D
6520;1.1.01.02.0600;CARUANA - CONTA CORRENTE;7,12;1266870;1266867,83;9,29;30/09/2019;D
6505;1.1.01.02.0500;CARUANA;326378,87;1154048,78;1269169;211258,65;30/09/2019;D
5320;1.1.01.04.0000;VALORES EM TRANSITO;19078,3;386674,1;393898,5;11853,9;30/09/2019;D
6440;1.1.01.04.0002;VALORES EM TRANSITO - BRINKS;19078,3;386674,1;393898,5;11853,9;30/09/2019;D
132;1.1.02.00.0000;CREDITOS;236087,62;637508,39;497757,81;375838,2;30/09/2019;D
140;1.1.02.01.0000;ESTOQUE;10190,66;1028;3583;7635,66;30/09/2019;D
159;1.1.02.01.0001;SUPRIMENTOS DE BILHETAGEM;10190,66;1028;3583;7635,66;30/09/2019;D
175;1.1.02.02.0000;CLIENTES;242947,5;419397,62;282130,99;380214,13;30/09/2019;D
205;1.1.02.02.0300;CONTAS A RECEBER;0;156,22;156,22;0;30/09/2019;
183;1.1.02.02.0400;FUNDACAO UNIVERSIDADE DO RIO GRANDE;0;99815,04;0;99815,04;30/09/2019;D
6564;1.1.02.02.0003;NOIVA DO MAR SERV MOBILIDADE LTDA -;38699,77;35406,47;38699,77;35406,47;30/09/2019;D
4286;1.1.02.02.0500;POS - BAR DO JAPA;0;48287,55;45562,8;2724,75;30/09/2019;D
190;1.1.02.02.0100;PREFEITURA MUNICIPAL DO RIO GRANDE;199917,35;231586,29;193381,82;238121,82;30/09/2019;D
6572;1.1.02.02.0004;TRANSPESSOAL TRANSPORTES LTDA;4330,38;4146,05;4330,38;4146,05;30/09/2019;D
213;1.1.02.03.0000;OUTROS CREDITOS;17050,54;217082,77;212043,82;12011,59;30/09/2019;C
329;1.1.02.03.0200;ADIANT. SALARIAL - QUINZENAL;0;4380;4380;0;30/09/2019;
360;1.1.02.03.0300;ADIANTAMENTO INSUFICIENCIA DE SALDO;0;0;133,72;133,72;30/09/2019;C
6530;1.1.02.03.0002;ADIANTAMENTO SBE - TRANSPESSOAL;17695;212109,48;207475,75;13061,27;30/09/2019;C
6459;1.1.02.03.3003;DIFERENCA DE MALOTE VENDAS POS;1;0;54,35;55,35;30/09/2019;C
353;1.1.02.03.0400;IMPOSTO DE RENDA A RECUPERAR;645,46;593,29;0;1238,75;30/09/2019;D
426;1.2.00.00.0000;REALIZAVEL A LONGO PRAZO;1332342,9;1836773,94;1770323,26;1398793,58;30/09/2019;D
434;1.2.01.00.0000;REALIZAVEL A LONGO PRAZO;1332342,9;1836773,94;1770323,26;1398793,58;30/09/2019;D
442;1.2.01.01.0000;CREDITOS COM PESSOAS LIGADAS;1182342,9;1836773,94;1770323,26;1248793,58;30/09/2019;D
6432;1.2.01.01.0001;NOIVA DO MAR SERVICOS DE MOBILIDADE;1182342,9;1836773,94;1770323,26;1248793,58;30/09/2019;D
7072;1.2.01.02.0000;OUTROS CREDITOS - LP;150000;0;0;150000;30/09/2019;D
7102;1.2.01.02.0003;EURICO DE SA CAVALCANTE JUNIOR;50000;0;0;50000;30/09/2019;D
7099;1.2.01.02.0002;MURILO PEREIRA CAVALCANTI;50000;0;0;50000;30/09/2019;D
7080;1.2.01.02.0001;VIPAR PARTICIPACOES SOCIETARIAS E SE;50000;0;0;50000;30/09/2019;D
469;1.3.00.00.0000;PEMANENTE;165314,99;0;0;165314,99;30/09/2019;D
558;1.3.02.00.0000;IMOBILIZADO;165314,99;0;0;165314,99;30/09/2019;D
566;1.3.02.01.0000;IMOBILIZADO;165314,99;0;0;165314,99;30/09/2019;D
590;1.3.02.01.0200;COMPUTADOR;5476;0;0;5476;30/09/2019;D
670;1.3.02.01.1000;EQUIPAMENTOS DE BILHETAGEM ELETRONIC;159838,99;0;0;159838,99;30/09/2019;D
906;2.0.00.00.0000;PASSIVO;2073865,65;2036655,12;2160507,04;2197717,57;30/09/2019;C
914;2.1.00.00.0000;CIRCULANTE;1923865,65;2036655,12;2160507,04;2047717,57;30/09/2019;C
922;2.1.01.00.0000;DEBITOS DE FUNCIONAMENTO;1923865,65;2036655,12;2160507,04;2047717,57;30/09/2019;C
949;2.1.01.01.0000;FORNECEDORES;165282,71;26079,58;23220,51;162423,64;30/09/2019;C
3417;2.1.01.01.3100;BRINKS SEGURANCA E TRANSPORTE DE VAL;3407,05;4298,81;4092,25;3200,49;30/09/2019;C
