Código DFC;Descrição;Código Plano de Contas;Descrição Plano de Contas;Grau;Nível 1;Nível 2
DFC.1;1 Caixa Líquido Atividades Operacionais;;;1;1 Caixa Líquido Atividades Operacionais;1 Caixa Líquido Atividades Operacionais
DFC.1.01;1.01 Caixa Gerado Nas Operações;;;2;1 Caixa Líquido Atividades Operacionais;1.01 Caixa Gerado Nas Operações
DFC.1.01.01;1.01.01 Lucro Líquido ;3.04.01;Lucro Antes do IR e CSLL;3;1 Caixa Líquido Atividades Operacionais;1.01 Caixa Gerado Nas Operações
DFC.1.01.01;1.01.01 Lucro Líquido ;3.04.02;(-) Provisão para CSLL e IRPJ;3;1 Caixa Líquido Atividades Operacionais;1.01 Caixa Gerado Nas Operações
DFC.1.01.02;1.01.02 Depreciação e Amortização;9.01;(-) Depreciação e Amortização;3;1 Caixa Líquido Atividades Operacionais;1.01 Caixa Gerado Nas Operações
DFC.1.01.03;1.01.03 Ajustes de Exercícios Anteriores;3.05;Ajustes de Exercícios Anteriores;3;1 Caixa Líquido Atividades Operacionais;1.01 Caixa Gerado Nas Operações
DFC.1.01.04;1.01.04 Provisões e Outros Ajustes ;2.01.01.06;Provisões - Curto Prazo;3;1 Caixa Líquido Atividades Operacionais;1.01 Caixa Gerado Nas Operações
DFC.1.01.04;1.01.04 Provisões e Outros Ajustes ;2.02.01.04;Provisões - Longo Prazo;3;1 Caixa Líquido Atividades Operacionais;1.01 Caixa Gerado Nas Operações
DFC.1.02;1.02 Variações Nos Ativos e Passivos;;;2;1 Caixa Líquido Atividades Operacionais;1.02 Variações Nos Ativos e Passivos
DFC.1.02.01;1.02.01 Clientes;1.01.02;Clientes;3;1 Caixa Líquido Atividades Operacionais;1.02 Variações Nos Ativos e Passivos
DFC.1.02.01;1.02.01 Clientes;1.02.01.02;Clientes - Longo Prazo;3;1 Caixa Líquido Atividades Operacionais;1.02 Variações Nos Ativos e Passivos
DFC.1.02.02;1.02.02 Estoques;1.01.03;Estoques;3;1 Caixa Líquido Atividades Operacionais;1.02 Variações Nos Ativos e Passivos
DFC.1.02.03;1.02.03 Impostos a Recuperar e Compensar;1.01.04;Impostos a Recuperar e Compensar;3;1 Caixa Líquido Atividades Operacionais;1.02 Variações Nos Ativos e Passivos
DFC.1.02.03;1.02.03 Impostos a Recuperar e Compensar;1.02.01.06;Impostos a Recuperar e Compensar - Longo Prazo;3;1 Caixa Líquido Atividades Operacionais;1.02 Variações Nos Ativos e Passivos
DFC.1.02.04;1.02.04 Adiantamentos;1.01.05;Adiantamentos;3;1 Caixa Líquido Atividades Operacionais;1.02 Variações Nos Ativos e Passivos
DFC.1.02.05;1.02.05 Despesas do exercicio seguinte;1.01.06;Despesas do Exercício Seguinte;3;1 Caixa Líquido Atividades Operacionais;1.02 Variações Nos Ativos e Passivos
DFC.1.02.05;1.02.05 Despesas do exercicio seguinte;1.02.01.07;Despesas Pagas Antecipadamente - Longo Prazo;3;1 Caixa Líquido Atividades Operacionais;1.02 Variações Nos Ativos e Passivos
DFC.1.02.06;1.02.06 Outros Créditos;1.01.08;Outros Créditos;3;1 Caixa Líquido Atividades Operacionais;1.02 Variações Nos Ativos e Passivos
DFC.1.02.06;1.02.06 Outros Créditos;1.02.01.08;Outros Créditos - Longo Prazo;3;1 Caixa Líquido Atividades Operacionais;1.02 Variações Nos Ativos e Passivos
DFC.1.02.07;1.02.07 Ativos Diferidos;1.01.07;Despesas Pré-Operacionais;3;1 Caixa Líquido Atividades Operacionais;1.02 Variações Nos Ativos e Passivos
DFC.1.02.07;1.02.07 Ativos Diferidos;1.02.05;Despesas Pré-Operacionais - Longo Prazo;3;1 Caixa Líquido Atividades Operacionais;1.02 Variações Nos Ativos e Passivos
DFC.1.02.08;1.02.08 Fornecedores;2.01.01.01;Fornecedores;3;1 Caixa Líquido Atividades Operacionais;1.02 Variações Nos Ativos e Passivos
DFC.1.02.08;1.02.08 Fornecedores;2.02.01.02;Fornecedores - Longo Prazo;3;1 Caixa Líquido Atividades Operacionais;1.02 Variações Nos Ativos e Passivos
DFC.1.02.09;1.02.09 Obrigações Fiscais e Sociais;2.01.01.03;Obrigações Fiscais e Sociais;3;1 Caixa Líquido Atividades Operacionais;1.02 Variações Nos Ativos e Passivos
DFC.1.02.09;1.02.09 Obrigações Fiscais e Sociais;2.02.01.03;Obrigações Fiscais e Sociais - Longo Prazo;3;1 Caixa Líquido Atividades Operacionais;1.02 Variações Nos Ativos e Passivos
DFC.1.02.10;1.02.10 Obrigações Trabalhistas;2.01.01.04;Obrigações Trabalhistas A Pagar;3;1 Caixa Líquido Atividades Operacionais;1.02 Variações Nos Ativos e Passivos
DFC.1.02.11;1.02.11 Outras Obrigações;2.01.01.07;Contas A Pagar;3;1 Caixa Líquido Atividades Operacionais;1.02 Variações Nos Ativos e Passivos
DFC.1.02.11;1.02.11 Outras Obrigações;2.01.01.09;Outras Obrigações;3;1 Caixa Líquido Atividades Operacionais;1.02 Variações Nos Ativos e Passivos
DFC.1.02.11;1.02.11 Outras Obrigações;2.02.01.05;Outras Obrigações - Longo Prazo;3;1 Caixa Líquido Atividades Operacionais;1.02 Variações Nos Ativos e Passivos
DFC.1.02.12;1.02.12 Receita Liquida Diferida;2.02.01.06;Receita Liquida Diferida LP;3;1 Caixa Líquido Atividades Operacionais;1.02 Variações Nos Ativos e Passivos
DFC.1.02.12;1.02.12 Receita Liquida Diferida;2.01.01.05;Receita Líquida Diferida - Circulante;3;1 Caixa Líquido Atividades Operacionais;1.02 Variações Nos Ativos e Passivos
DFC.2;2 Caixa Líquido Atividades de Investimento;;;1;2 Caixa Líquido Atividades de Investimento;2 Caixa Líquido Atividades de Investimento
DFC.2.01;2.01 Variação dos Investimentos Realizáveis a Longo Prazo;1.02.01.01;Aplicações Financeiras - Longo Prazo;2;2 Caixa Líquido Atividades de Investimento;2.01 Variação dos Investimentos Realizáveis a Longo Prazo
DFC.2.01;2.01 Variação dos Investimentos Realizáveis a Longo Prazo;1.02.01.03;Partes Relacionadas;2;2 Caixa Líquido Atividades de Investimento;2.01 Variação dos Investimentos Realizáveis a Longo Prazo
DFC.2.01;2.01 Variação dos Investimentos Realizáveis a Longo Prazo;1.02.01.04;Depósitos Judiciais;2;2 Caixa Líquido Atividades de Investimento;2.01 Variação dos Investimentos Realizáveis a Longo Prazo
DFC.2.01;2.01 Variação dos Investimentos Realizáveis a Longo Prazo;1.02.01.05;IRPJ e CSLL Diferidos;2;2 Caixa Líquido Atividades de Investimento;2.01 Variação dos Investimentos Realizáveis a Longo Prazo
DFC.2.02;2.02 Variações nos Investimentos;1.02.02;Investimentos;2;2 Caixa Líquido Atividades de Investimento;2.02 Variações nos Investimentos
DFC.2.03;2.03 Variações no Imobilizado;1.02.03.01;Bens Imóveis;2;2 Caixa Líquido Atividades de Investimento;2.03 Variações no Imobilizado
DFC.2.03;2.03 Variações no Imobilizado;1.02.03.02;Bens Móveis;2;2 Caixa Líquido Atividades de Investimento;2.03 Variações no Imobilizado
DFC.2.03;2.03 Variações no Imobilizado;1.02.03.06;Outros;2;2 Caixa Líquido Atividades de Investimento;2.03 Variações no Imobilizado
DFC.2.04;2.04 Variação Intangível;1.02.04;Intangível;2;2 Caixa Líquido Atividades de Investimento;2.04 Variação Intangível
DFC.3;3 Caixa Líquido Atividades Financiamento;;;1;3 Caixa Líquido Atividades Financiamento;3 Caixa Líquido Atividades Financiamento
DFC.3.01;3.01 Empréstimos Bancários;2.01.01.02;Empréstimos e Financiamentos;2;3 Caixa Líquido Atividades Financiamento;3.01 Empréstimos Bancários
DFC.3.01;3.01 Empréstimos Bancários;2.02.01.01;Empréstimos e Financiamentos - Longo Prazo;2;3 Caixa Líquido Atividades Financiamento;3.01 Empréstimos Bancários
DFC.3.02;3.02 Inadimplência Tributária;2.01.01.08;Parcelamentos de Impostos;2;3 Caixa Líquido Atividades Financiamento;3.02 Inadimplência Tributária
DFC.3.02;3.02 Inadimplência Tributária;2.02.01.07;Inadimplência Tributária;2;3 Caixa Líquido Atividades Financiamento;3.02 Inadimplência Tributária
DFC.3.03;3.03 Ajustes de Avaliação Patrimonial;3.03;Ajustes de Avaliação Patrimonial;2;3 Caixa Líquido Atividades Financiamento;3.03 Ajustes de Avaliação Patrimonial
DFC.3.04;3.04 Integralização de Capital;3.01;Capital Social;2;3 Caixa Líquido Atividades Financiamento;3.04 Integralização de Capital
DFC.3.05;3.05 Constituição de Reservas;3.02;Reservas;2;3 Caixa Líquido Atividades Financiamento;3.05 Constituição de Reservas
DFC.4;4 Aumento (Redução) do Fluxo de Caixa do Exercício;3.04.01;Lucro Antes do IR e CSLL;1;4 Aumento (Redução) do Fluxo de Caixa do Exercício;4 Aumento (Redução) do Fluxo de Caixa do Exercício
DFC.4;4 Aumento (Redução) do Fluxo de Caixa do Exercício;3.04.02;(-) Provisão para CSLL e IRPJ;1;4 Aumento (Redução) do Fluxo de Caixa do Exercício;4 Aumento (Redução) do Fluxo de Caixa do Exercício
DFC.4;4 Aumento (Redução) do Fluxo de Caixa do Exercício;9.01;(-) Depreciação e Amortização;1;4 Aumento (Redução) do Fluxo de Caixa do Exercício;4 Aumento (Redução) do Fluxo de Caixa do Exercício
